smiles,name
c1c(Cl)ccc(c12)nc(s2)N3CC[N@H+](CCC3)C[C@@H](O)COc(cc4Cl)ccc4Cl,AW00462
c1ccccc1-c(ns2)nc2N3CCN(CCC3)C(=O)Nc4c(F)cc(F)cc4,AW00464
c1ccccc1-c(ns2)nc2N3CCN(CCC3)C(=O)Nc4c(C)c(Cl)ccc4,AW00466
c1ccc(Cl)c(Cl)c1-n2c(ncc2)SCc3c(F)cccc3Cl,AW00467
c1cc(C)ccc1S(=O)(=O)[N-]C(=O)NCCCNC(=O)OC(C)(C)C,AW00472
c1c(C)cc(C)cc1NC(=S)NCCCNC(=O)OC(C)(C)C,AW00473
FC(F)(F)c1ccc(cc1)\C=[NH+]\CCCNC(=O)OC(C)(C)C,AW00474
c1cc(C(F)(F)F)nc(C)c1-c2oc(nn2)SC(=O)c3ccc(Cl)cc3,AW00475
c1cc(C(F)(F)F)nc(C)c1-c2oc(nn2)SCc(c3)cc(F)cc3F,AW00476
C=CCSc(nn1)oc1-c2c(C)nc(C(F)(F)F)cc2,AW00477
C#CCSc(nn1)oc1-c2c(C)nc(C(F)(F)F)cc2,AW00479
c1cc(C(F)(F)F)nc(C)c1-c2oc(nn2)SC(=O)c3c(C)nc(C(F)(F)F)cc3,AW00480
c1ccccc1-c(ns2)nc2N3CCN(CCC3)C(=O)Nc4c(C)cc(cc4)CCCC,AW00481
FC(F)(F)c1c(Br)ccc(c1)[N-]S(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00482
c1c(Cl)ccc(c12)nc(s2)N3CCN(CCC3)C(=O)Nc4c(C)cc(cc4)CCCC,AW00483
CCOC(=O)COc1c(Br)cc(cc1Br)\C=N\NC(=S)Nc2cc(Cl)ccc2Cl,AW00484
c1cc(C(F)(F)F)nc(C)c1-c2oc(nn2)SCC(=O)c3sccc3,AW00485
C=CCc1c(C)nc([nH]c1=O)SCC(=O)c2sccc2,AW00486
Cc1cc(C)cc(C)c1-n2c(nnn2)SCC(=O)c3sccc3,AW00487
n1ccc(C(F)(F)F)nc1N2CCC[NH2+]CC2,AW00488
c1cc(C)ccc1S(=O)(=O)[N-]C(=O)N2CCN(CCC2)c3nc(C(F)(F)F)ccn3,AW00489
FC(F)(F)c1cc(ccc1)NC(=S)N2CCN(CCC2)C(=O)OC(C)(C)C,AW00490
