smiles,name,bioactivity_class
Cc1cc(CNC(=O)[C@@H](N)CCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)n(C)n1,CHEMBL3397319,inactive
CCN(C(=O)C1CC1)c1cc(-c2ccc(N3CCN(CC4CC4)CC3)nc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C,CHEMBL4852135,active
CCN(C(=O)C1CC1)c1cc(-c2cnc(N3CCN(CC4CC4)CC3)c(C)c2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C,CHEMBL4863309,active
CCN(C(=O)C1CC1)c1cc(-c2ccc(N)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C,CHEMBL4854228,active
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(CC)CC3)nc2)cc2c1cnn2C(C)C,CHEMBL4557033,active
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(Br)cc2c1cnn2C(C)C,CHEMBL4584071,active
CCN(c1cc(/C=C/c2cccc(CN(C)C)c2)cc(C(=O)NCc2c3c(c(C)[nH]c2=O)CCCC3)c1C)C1CCOCC1,CHEMBL4645357,active
CCN(c1cc(/C=C/c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c3c(c(C)[nH]c2=O)CCCC3)c1C)C1CCOCC1,CHEMBL4646766,active
CCN(c1cc(/C=C/c2cccc(CN(C)C)c2)cc(C(=O)NCc2c(C)c3c([nH]c2=O)CCCC3)c1C)C1CCOCC1,CHEMBL4645331,active
COc1cccc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1OC,CHEMBL3905088,inactive
COc1cccc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1O,CHEMBL3975884,inactive
CCOc1ccc2c(c1Cl)C(=O)N(Cc1c(C)cc(C)[nH]c1=O)CC2,CHEMBL3947273,active
Cc1cc(C)c(CN2CCc3c(Cl)cc(-c4cn[nH]c4C)c(Cl)c3C2=O)c(=O)[nH]1,CHEMBL3947760,active
CC(=O)Nc1cc(-c2ccc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)nc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C,CHEMBL4854774,active
CC[C@H](C)n1nc(C)c2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(-c3ccc(N4CCNCC4)nc3)cc21,CHEMBL4847620,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN(C)C)cc3)cc(N(C)[C@H]3CC[C@@H](N)CC3)c2C)c(=O)[nH]1,CHEMBL3697438,active
CCN(CC)Cc1ccc(-c2cc(C(=O)NCc3c(C)cc(C)[nH]c3=O)c(C)c(N(CC)C3CCOCC3)c2)cc1,CHEMBL3697483,active
CCN(c1cc(-c2ccco2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701012,active
CCN(c1cc(-c2ccc(CN3CCN(C)CC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697456,active
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCC(N(C)C)CC3)nc2)cc(N(CC)C2CCOCC2)c1C,CHEMBL3701052,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc4c(c3)OCCO4)nc3c2cnn3C(C)C)c(=O)[nH]1,CHEMBL3414618,active
CCN(c1cc(-c2ccc(CN3CC[C@@H](F)C3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697464,active
CCN(c1cc(-c2ccc(C(F)(F)F)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701009,active
CCN(c1cc(-c2ccc(CN3CCC[C@@H](O)C3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697467,active
CCN(c1cc(-c2ccc(CNC(C)C)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697481,active
CCS(=O)(=O)N1CCC([C@@H](C)n2c(C)c(C(=O)NCc3c(OCC(F)(F)F)cc(C)[nH]c3=O)c3ccccc32)CC1,CHEMBL3605459,active
Cn1nc(CNC(=O)[C@@H](N)CCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1C1CCC1,CHEMBL3397328,inactive
CC1CC(NC(=O)c2ccc(Oc3cccc(-c4ccnnc4)c3C#N)c(Cl)c2)CC(C)N1,CHEMBL3264793,inactive
COc1ccccc1Oc1ccc(C(=O)NC2CC(C)(C)NC(C)(C)C2)cc1,CHEMBL3264766,inactive
CC1(C)CC(NC(=O)c2cc(F)c(Oc3ccccc3C#N)c(Br)c2)CC(C)(C)N1,CHEMBL3264781,active
CCN(c1cc(-c2ccc(CN3CCC(O)CC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697468,active
